Review,TF-IDF Prediction,Word2Vec Prediction,BERT Prediction
i decided buy instead traditional kindle i do not regret my decision at allthe only con for those evaluating as tablet amazon has their own app store many apps from googleplayappstore simply not available,Positive,Positive,Positive
i am using it for my year old she loves it,Positive,Positive,Positive
great speaker echo substitute great for on go as bluetooth speaker when connected internet it works great using alexa app,Positive,Positive,Positive
i bought for my mom she loves it she said it really easy use loves lighting its easy for her read,Positive,Positive,Positive
bargain for price especially for coverage warranty gift for my year old granddaughter things can happen it she absolutely loves it pretty easy use,Positive,Positive,Positive
so far so good i enjoy being able communicate with friends family using drop in feature,Positive,Positive,Positive
bought for year old grandaughter she loves it now she wont need steal moms tablet phone,Positive,Positive,Positive
we concept learn adapt ever changing word product should stand out,Positive,Positive,Positive
no problems so far im enjoying it suggestion it should come with some outputs plugs connect it bigger speakers sound system,Positive,Positive,Positive
i love my kindle its perfect for reading my favorite books,Positive,Positive,Positive
got as gift for my boyfriend he loves it very convenient easy use,Positive,Positive,Positive
easy use love color my daughter loves it easy set up very happy with my purchase,Positive,Positive,Positive
readeri compact fits nicely in my bag easy use controls for children very effective am glad i bought it,Positive,Positive,Positive
got it as gift for my dad so far so gooddidnt not realise special offers ads spend more money buy one with out themalso hate fact they removed wwan connection you now need wifi connect store,Positive,Positive,Positive
i purchased kindle fire hd purchased for use by yer old grandchildren they basically use it play amazon games you download,Positive,Positive,Positive
i bought kindle oasis for my wife as thanniversary gift she enjoys reading i thought being able adjust text size would be very nice she tried it for few days didnt care for it she writes notes in margins wasnt happy with way kindle did its notes for just reading i think it would be very nice product,Positive,Positive,Positive
we bought one these for our year old few months ago we liked it so much we bought one as christmas present for year old parent it obviously isnt highest quality tablet on market it very responsive gets job done you cant beat price just great value,Positive,Positive,Positive
easy set up we really enjoy getting real time local weather it translates spanish very efficiently we also enjoy music we can easily select would appreciate higher quality sound linking echo lighting snap highly recommended,Positive,Positive,Positive
tablet great i loved color all features it has i will be buying more for my daughters great purchase,Positive,Positive,Positive
im new tablets one pretty easy understand usetheres decent amounts apps at start up which can be good bad,Positive,Positive,Positive
she alexa better younger sister love her some new skills great,Positive,Positive,Positive
ive enjoyed using my fire hd tablet play games,Positive,Positive,Positive
very easy use navigate my year old grandsons can use them with ease some apps limited as you do not have google play there plenty games learning games available,Positive,Positive,Positive
i bought my step mom updated kindle she reads new kindle more than her old one,Positive,Positive,Positive
ive been using original bn nook ereader for several years now i finally decided upgrade i wish id done it lot sooner new kindle touchscreen ereader phenomenalthe device light easy carry almost unbelievably so it fast responsive touch screen has delay i would recommend anybody in market for one buy one immediately you wont regret it,Positive,Positive,Neutral
exchanged google google home for model fun for kids finding new uses for it every day had problem when best buy forgot include free light bulb,Positive,Positive,Positive
love kindle press side page turner great,Positive,Positive,Positive
alexa amazing phillips bulb works seamlessly with it,Positive,Positive,Positive
it has very limited use without adding on expensive apps adding more wireless speakers i am considering returning merchandise,Positive,Positive,Positive
information on weather updates on music events fun questions answered while working in kitchen good sound for limited areagreat sales assistance at best buy,Positive,Positive,Positive
grandkids love tablet easy for them use,Positive,Positive,Positive
bought as gift for my granddaughter who she loves it plays games watches videos listens music,Positive,Positive,Positive
it good works pretty easily camera good,Positive,Positive,Positive
fixed alot issues complained about with,Positive,Positive,Positive
great product tablet made tough great price,Positive,Positive,Positive
tablet not only great price exactly what i needed for quick internet access download books,Positive,Positive,Positive
if amazon google can work things out show will be amazing we already loved echo dot looking forward adding video unfortunately youtube no longer on show limiting video content if they can ever get it back show will definitely be star product,Positive,Positive,Positive
family i love alexa view once we got it we hooked now everything in house outside run by voice commands opportunities with endless,Positive,Positive,Positive
bought for my wife upgrade from original kindle she has worn out big step up from original should be good for another years,Positive,Positive,Positive
i have dots echo just sounds better looks better,Positive,Positive,Positive
not hard set up love quality good screen size clarity,Positive,Positive,Positive
i bought shows i am loving them them video flash briefing wonderful personalized i dont have keep my phone on me keep in touch with my closest family members they can just drop in i can do same with kids when away from house i made more purchases immediately after put them in my office living room i love lyrics when music playing looking at forecast on fly they must have for modern home,Positive,Positive,Positive
i really enjoy my fire stick its really easy use,Positive,Positive,Positive
excellent speaker love portability long lasting battery before recharge needed very good digital assistant lots fun use,Positive,Positive,Positive
new fire tablet with gb internal memory upgrade from my older gb version allowing more storage books movies apps,Positive,Positive,Positive
great product user friendly cant be beaten for promotion prices,Positive,Positive,Positive
tablet does great deal from surfing net watching movie using all music channels affordable way stay in touch also i use it for ebooks for school,Positive,Positive,Positive
we love alexa great addition our family lol seriously you can rely on alexa,Positive,Positive,Positive
purchased item for our daughter she absolutely loves it,Positive,Positive,Positive
great inches tablet with amazing storage for apps,Positive,Positive,Positive
i am pleasantly surprised at how well works i bought e reader it didnt work so i nervous buying kindle it works great my son loves it,Positive,Positive,Positive
great device easy setupthe ease use for kids also great,Positive,Positive,Positive
love new fire great for books games getting online easy use features perfect size screen take on go,Positive,Positive,Positive
christmas present person received it very happy with it she has other kindles new one obvious improvement over previous ones,Positive,Positive,Positive
great resolution easy use amazon prime gives you free movies books games,Positive,Positive,Positive
amazon built upon success their echo im really enjoying convenience echo with added display,Positive,Positive,Positive
tablet great for kids i bought it for my grandson he delighted with it he uses it constantly,Positive,Positive,Positive
i just love tap it so much fun music so great i play relation music every nightevery night best thing ever,Positive,Positive,Positive
i cant update facebook few other apps its not what i expected,Positive,Positive,Positive
i didont care for tablet downloading apps outside amazon really confusing,Positive,Positive,Positive
best item i ever use i would love get another one,Positive,Positive,Positive
i didnt actually use as i bought for gift my grandson already had one so we returned for pair if d goggles,Positive,Positive,Positive
tablet has been best one for price we have purchased other tabs for our kids they have all broke ran super slow they love them would definitely recommend anyone who wants save buck want quality,Positive,Positive,Positive
purchased as door prize gift given with one year amazon membership recipient loves it says it performs very well as past amazon fire user now ipad graduate i loved my amazon fire for more than years without any problems in fact i just recycled it on my son it runs like champ,Positive,Positive,Positive
biting as gift my only concern size amazon interface it easy enough download google play store so it familiar user size initial concern it just right watch movies without being so cumbersome,Positive,Positive,Positive
i understood it did not have wake command it would be better if it had itother than everything wonderful with speaker really convenient be able listen my podcasts without messing with my phone apps just ask alexa she plays most recent episode,Positive,Positive,Positive
my yr old grand daughter loves her new tablet now she can watch mickey clubhouse whenever she wants,Positive,Positive,Positive
for cheap starter tablet its fine bought it replace cheaper kids tablet itll do for,Positive,Positive,Positive
love tablet power lasts long short charge time hd screen really clear only con there some apps not available like google play very satified have gb card in mine plenty space for downloads camera has no flash not best i didnt buy tablet for high recommend hd tablet gb amazon fire you want go wrong,Positive,Positive,Positive
perfect tablet for my year old it does everything she needed it,Positive,Positive,Positive
simple great buy for your money if you avid reader,Positive,Positive,Positive
sound quality very good sleek design nice,Positive,Positive,Positive
i love read booksbooks books more books,Positive,Positive,Positive
makes reading easier more enjoyable in i can see whole page at one time protective cover best buy sell disappointment in it covered onoff switch did not hold tablet very well so i had find another cover from another source,Positive,Positive,Positive
gift for my kids they love them easy use lots great apps,Positive,Positive,Positive
product great it easy use easy set up,Positive,Positive,Positive
i bought for learning entertaining purposes my daughter enjoys it i compared other learning tablets found for price protection plan works best for us,Positive,Positive,Positive
like fact i can see videos utilize ir with my lighting system,Positive,Positive,Positive
purchased for my mom in memory care center she doesnt have answer phone we simply drop in start talking until she sees us picture clarity awesome staff also aware camera feature knows we drop in frequently doesnt replace room camera good would give cant figure out how have other alexa owners drop in on her anyone know,Positive,Positive,Positive
purchased for year old boy couldnt be happier,Positive,Positive,Positive
i am loving my amazon echo show it makes life easier i love being able ask what weather going be play some music just by asking alexa i also love being able video call friends family have echo show alexa app overall it great product,Positive,Positive,Positive
kindle fire lighter than my old one speed great all apps load very quickly i also like it comes in different colors,Positive,Positive,Positive
kids will have lot fun time with games learning,Positive,Positive,Positive
has quickly become one most used at kitchen counter if you have alexa you like it must have upgrade,Positive,Positive,Positive
i had older version kindle ereader allowed me download books on go i felt like something missing several upgrades later i got for gift i think it basically includes everything missing it so lightweight compact i can easily slip it into my purse use it with one hand it has backlighting doesnt disturb my sleeping husband create light so bright it distracting its just right amount light needed read in different ligths it can selfadjust from reading in dark room reading outside on bright day,Positive,Positive,Positive
graphics sound on tablet better than expected,Positive,Positive,Positive
i got oasis yesterday very lighweight compared voyager screen size comparable like having actual page turn button touchscreen seems kinda slow onoff button on top improvement from back voyager cover does seem kind flimsy supposed be leather so will see how it holds up finding it easier hold with cover on then removed cover doesnt have separate charge port so all charging done thru kindle,Positive,Positive,Positive
got it for few weeks it kind fades away from your life,Positive,Positive,Positive
i bought tablet for my year old daughter too many advertisements i would rather pay more not have single ad,Positive,Positive,Positive
we interested in echo line products after we purchased our vivint security system echo show perfect addition we able view our security cameras from echo show it works great in general as echo with all its features,Positive,Positive,Positive
great tablet for kids as it not too expensive there year warranty if it breaks within years they replace it my year very rough with things my husband letting him plug charger in by himself jammed it into tablet causing charging port break i had no problems getting it replaced,Positive,Positive,Positive
i absolutely love my kindle i go nowhere without it it has kept me entertained for hours dont have keep up with books get torn lost i would do recommend kindle for everyone,Positive,Positive,Positive
i really enjoy sound it sounds so full my only disappointment limited functionality built in hub i had purchase hue hub get full functionality other than i love it,Positive,Positive,Positive
i love it easy use many different features,Positive,Positive,Positive
i have had kindles over years got have one read my books relax,Positive,Positive,Positive
alexa amazin i love features their greatjust love it,Positive,Positive,Positive
video integration its big plus for video calling kids at home quick check whos at door when doorbell rings,Positive,Positive,Positive
having amazon echos i had pick up these add more rooms these work best in bedroom kitchen video display bright video calling great addition flawlessly get them when they go on sale,Positive,Positive,Positive
color what got me features on point screen shows lot different displays share for now until next one,Positive,Positive,Positive
i love product it one my best buys from best buy,Positive,Positive,Positive
i love it it works great i love drop in func,Positive,Positive,Positive
my first tablet love it actually read my first ebook on it large screen easy read play games fits nicely in my purse,Positive,Positive,Positive
upgraded from echo add video support for my cameras sound much better,Positive,Positive,Positive
with cover attached battery lasts for good long period with cover detached which how i use it primarily oasis so thin it almost weightless in your hand ability switch hands flip upside down means one never seems tire holding device read book it fits into my pants pocket again perfect for traveling battery seems last with heavy usage for at least several days i tend reconnect cover at night i am assuming helps recharge basic oasis battery regardless it well worth replacing our older kindle readers with newer oasis we bought two,Positive,Positive,Positive
great tablet perfect for my year old son,Positive,Positive,Positive
good way get started for kids play with they can learn,Positive,Positive,Positive
like it better then nabi jr more like real tablet actually it with extra protective case,Positive,Positive,Positive
i dont know why i waited so long bring alexa into my home its how i listen my music now dictate my shopping todo lists get my morning weather report just name few i highly recommend item,Positive,Positive,Positive
great tablet for price for my wife perfect size good for traveling,Positive,Positive,Positive
got as gift for my sister her fianc they love it works great with phillips hue,Positive,Positive,Positive
i purchased kindle fire for my husband he loves it he had older model which he loved my dog accidentally broke it updated version has so many new features which he loves,Positive,Positive,Positive
i got for my two grandsons ages for christmas they love them,Positive,Positive,Positive
i had always been looking upgrade my original kindle i love new touch features display on one size also makes it very easy transport,Positive,Positive,Positive
i wanted lighted ebook reader also access internet in small format fire meets my needs at great price,Positive,Positive,Positive
no problem other than setup took few minutes finish,Positive,Positive,Positive
it would be nice have full app library it does what you need,Positive,Positive,Positive
new design lighter has longer battery life page displays crisp clear light adapts environment you reading in keep image consistent new kindle voyage amazing,Positive,Positive,Positive
i gave my paperwhite friend bought voyage i like clearness screen how easy it turn pages i dont know its really worth all extra cost compared paperwhite especially since new one just came out with dpi,Positive,Positive,Positive
i bought tablet for my mom on her birthday recently she loves it uses it all time,Positive,Positive,Positive
very impressed set up little confusing overall good experience still learning however best buy emails give away any gift secrets had reset my account work email address,Positive,Positive,Positive
she love it she said it easy useshe love it very much,Positive,Positive,Positive
my third kindle best one yet love new controls backlit page compact size ease use i would recommend kindle voyage all readers,Positive,Positive,Positive
we got for whole family we absolutely love alexa speaker,Positive,Positive,Positive
everything i expected with none drawbacks i have found in other tablets,Positive,Positive,Positive
bought as surprise gift recipient loves it,Positive,Positive,Positive
its ok i rather have bought samsung galaxy tab,Positive,Positive,Neutral
my third kindle best differentiator form factor definite improvement over paperwhite also like having pageturn buttons back case very cool indeed if you can get past jump in price remember youre not having buy case separately its quality product have,Positive,Positive,Positive
i never used kindle before my wife gifted me on my birthday amazing product i am using it for daily reading display fantastic no strain on eyes,Positive,Positive,Positive
apps better it charges faster camera really neat,Positive,Positive,Positive
it has been wonderful i bought it for my boyfriend i get more use out it then he does,Positive,Positive,Positive
i think amazon fire offer should include standcover as standard i enjoy mine lot more since i forced purchase standcover which holds tablet would have preferred instruction sheet grt everything set up for use,Positive,Positive,Positive
i found amazon fire hd be very easy travel back forth school i can easily transfer my work in class my main computer at home,Positive,Positive,Positive
i bought as gift so i havent gotten use it much yet initial setup really easy i am sure she going love it,Positive,Positive,Positive
very satisfied with product as do my family kids,Positive,Positive,Positive
i bought it for my son in laws birthday after they bought me one for christmas not just good for music helpful for grandkids homework now we can video chat with grandkids which one year old loves,Positive,Positive,Positive
great tablet for kids adults alike,Positive,Positive,Positive
i had some thoughts about getting for year old if you get screen protector case i feel it will last long time,Positive,Positive,Positive
great product i would recommend it anyone enjoys reading,Positive,Positive,Positive
easy use elegant in design perfect gift for kids,Positive,Positive,Positive
i bought as gift for christmas it well liked,Positive,Positive,Positive
i havent used yet it gift for my father i think hell love it,Positive,Positive,Positive
i needed simple tablet use in my car on long trips bought two these boy do they deliver best tablets for price kindle book reader added bonus finishing good my kids love it,Positive,Positive,Positive
love my amazon echo show however i wish alexa knew little bit more,Positive,Positive,Positive
purchased for my father in law most frustrating experience not user friendly not friendly at all stick with name brand tablet apple samsung etc avoid device at all costs,Positive,Positive,Positive
my nd fire great picture quality easy use would recommend for all ages,Positive,Positive,Positive
recently divorced i bought these tonserve as homebase for me my year old it has helped him know there one spot in both our houses he can reach me by simply saying drop on daddy,Positive,Positive,Positive
easy set up it does not work with all phones i have samsung,Positive,Positive,Positive
fire worked great i returned it because it not one i wantedbest buy took it back for full refund with no problems best buy alsome,Positive,Positive,Positive
i love my kindle im back reading so much more often as i always have several books with me at all times at first it surprised me version doesnt have back light you need light read i actually like it now as i dont get eye strain like i do when using my phone,Positive,Positive,Positive
we purchased amazon echo show with alexa in store took it home after connection wifi it great we cannot wait buy light bulbs thermostat great buy,Positive,Positive,Positive
my son huge fan it i love i can control what he watches plays,Positive,Positive,Positive
gift for christmas we bought on black friday sale price reasonable,Positive,Positive,Positive
i bought item on whim because it on sale ive been pleasantly surprised search sounds great for its size,Positive,Positive,Positive
bought for all four my children they loved it,Positive,Positive,Positive
bought for my kids they love them they love camera,Positive,Positive,Positive
in my opinion model too small feels cheap sd card slot,Positive,Positive,Positive
replaced my old kindle fire i have not yet explored all features so far it performing very well tablet good size weight easy use,Positive,Positive,Positive
got for my year old granddaughter she loves it uses it for game play homework etc mom dad loves parental controls not having worry so much,Positive,Positive,Positive
im very happy with my purchase i bought one because my wife has one very happy with hers,Positive,Positive,Positive
we bought for our son who wanted nothing for christmas he uses it all time with lights music locking door he absolutely loves it we now buying another home base for rest house,Positive,Positive,Positive
what there say i love it functions well lasts long time,Positive,Positive,Positive
it good have as backup lags performance eventually not worth for money,Positive,Positive,Positive
great product im at beginning stages having smart home perfect addition,Positive,Positive,Positive
almost week late from release date from ups finally got set it up which easy once in while it doesnt hear you right thats probably due being feet away with tv on other than no problems,Positive,Positive,Positive
we bought reader replace fire hdx had seemed go wonky turns out couple system resets hdx back normal so i get old one she gets new onebut i can highly recommend reader clarity text overall functionality excellent,Positive,Positive,Positive
using it in my kitchen whole family has access we can all use different functionality great for looking up recipies music calling relatives friends,Positive,Positive,Positive
little putsy so far there continuous updates i think will make great device stay connected with family bought second for my dad who knows he might replace his land line someday if gets better i do think our original echo bit better at responding i enjoy one in kitchen aka hub house,Positive,Positive,Positive
i purchased as gift for father in law he loves it,Positive,Positive,Positive
i bought tablet replace one i had different brand worn out pretty good tablet for price i just wanted something use til i could get something bigger ive had no problems with it other than some games i played on my other one not being available on fire,Positive,Positive,Positive
i bought two these one for my son other for nephew they love it i downloaded kidsmode on it all their educational games they can play besides regular games,Positive,Positive,Positive
having fun with all things we can learn from alexa it almost like having another person in house,Positive,Positive,Positive
i purchased tablet am very happy with it,Positive,Positive,Positive
you need have amazone prime in order have music,Positive,Positive,Positive
slower than my last kindle power button not easy accesible when in case,Positive,Positive,Positive
bought tablet on sale i can look up all things i m interested in,Positive,Positive,Positive
gift for great nephew have yo both love these tablets because each got one play with them as much as mom allows,Positive,Positive,Positive
definitely worth money sound awesome,Positive,Positive,Positive
i bought two tablets for you little ones they love them i would recommend,Positive,Positive,Positive
love how it hooks up lights can play any music,Positive,Positive,Positive
i got as spur moment thing i figured it going be super gimmicky pleasantly surprised its actually very helpful device for organizing shopping smart home control listening music even watching some videos while im washing dishes my show in my kitchen ive used it for countless things i think amazons best alexa yet,Positive,Positive,Positive
great tablet for price display clear enjoy books on tablet,Positive,Positive,Positive
sound amazing wish alexa knew more things i get lot im sorry i dont know which unfortunate,Positive,Positive,Positive
bought carry around for internet gaming so far very happy,Positive,Positive,Positive
we brought as replacement for fifteen fifty books my daughter wanted take with her hawaii books course would weigh lot there be no room for cloths pesky airline their poundage issues now she can take hundred books she has mini computer its win win no win for airlines,Positive,Positive,Positive
battery having more more trouble holding charge i bought fire in july am now having charge it every day in order use it i am not impressed would not repurchase it,Positive,Positive,Positive
i very impressed with functionality my amazon echo very useful have around house for discounted price it steal,Positive,Positive,Positive
i bought for my daughter its little limited in what it can do she loves it shes little too young understand games she loves watching cartoons on it,Positive,Positive,Positive
can not tell you price merchandise when asked,Positive,Positive,Positive
purchased due reviews in sale so far easy use,Positive,Positive,Positive
device meets needs my grandson he can read play games on it it also has parental safeguards,Positive,Positive,Positive
i bought item as gift for relative in her mid teens so far no complaints,Positive,Positive,Positive
bought tablet for my grandson we couldnt be happier he loves it it easy use created childrens account so he wouldnt be distracted by all other goings on internet bought so he could play games do his school work as it links up nicely ixl google class love usage timer ability lock it down i have loaded google play store on it so we now access many games other apps no issues so far great buy for money only down side i can see in case hear so far low sounding speaker could be bit louder better placed all in all you wont be disappointed in purchase great for web page looks ups reading playing games,Positive,Positive,Positive
loved fire hd latest hd sharper faster still handles great,Positive,Positive,Positive
i bought white version have it in kitchen i use it for everything music video phone security cams news weather its perfect kitchen assistant,Positive,Positive,Positive
tablet perfect for travel recently took it on trip battery lasted entire day with watching shows on off on netflix great first tablet,Positive,Positive,Positive
im in love with alexa love her fir music quick weather updates in kitchen for recipes its great getting them step by step not having keep putting passcode in on my ipad with hands covered in flour,Positive,Positive,Positive
not too satisfied with sound it loses bluetooth connection no matter what phone i use either iphone android,Positive,Positive,Positive
absolutely love echo show it in my kitchen i love seeing my do shopping lists on there my calendar there too plus i scroll pictures on it from my amazon prime photos love being able get daily news briefing from mpr every morning also use it for timing things would highly recommend it amazon prime members got it at great price on sale prior christmas,Positive,Positive,Positive
bestbuy delivered on day release amazon still seems be backordered it great product nice light with uniform screen snappy performance,Positive,Positive,Positive
nice upgrade from my old kindle i like it very much,Positive,Positive,Positive
kid friendly great appschild can learn many things with tablet,Positive,Positive,Positive
i love tablet for kids its so much fun for them great buy,Positive,Positive,Positive
love look love size love it visual,Positive,Positive,Positive
great tablet for streaming good internet connection along with nice display,Positive,Positive,Positive
other similar devices do not have voice recognition learning capability echo plus has it superior all others,Positive,Positive,Positive
kids love it they ask it silly questions which my amazement it has answer i really like for music aspect just tell it song it finds it,Positive,Positive,Positive
my th kindle easily best one ive ever had it very comfortable hold very compact i surprised how small it has same screen size as my other kindles it may look costly at first remember you getting cover with additional battery,Positive,Positive,Positive
purchased for my mother for her birthday she loves it large screen what she wanted most,Positive,Positive,Positive
i love it it can do it all beautiful color graphics in no time at all i can watch movie play games read my favorite novel i love it,Positive,Positive,Positive
bought for my teenage daughter it works beautifully with great battery life,Positive,Positive,Positive
good tablet for my son use play his games,Positive,Positive,Positive
looks nice cant wait try it out great price for tablet,Positive,Positive,Positive
it just as described i would recommend it friend,Positive,Positive,Positive
when you can get thing on sale its amazing deal have all your amazon features right in your face books manga gaming amazon its easy hold has amazing battery life has pretty decent screen sure galaxy tablets have better specs its price features you get from amazon make device amazing,Positive,Positive,Positive
needed tv in our kitchen wasnt looking for huge fancy for so inch perfect for us,Positive,Positive,Positive
very happy satisfiedeasier handle fast charging,Positive,Positive,Positive
i love my new amazon fire tablet its great perfect size fit in my purse so i can take it with me i would definitely recommend friend,Positive,Positive,Positive
love alexait works so well speaker system excellent it amazing how many things it does,Positive,Positive,Positive
i bought tablet for my year old grand daughter she loves itwe set parental controls for her age group now we dont have worry about what she doing on it we downloaded her favorite disney movies onto it now she has her own little private movie theater it also works great with our amazon fire tv can watch lot her favorite kid shows great buy for money i recommend it everyone,Positive,Positive,Positive
awesome producti also own paperwhite if you always read in good lighting i would recommend you save some money buy instead paperwhite,Positive,Positive,Positive
i love tablet came preloaded all we needed do charge it my child had access many books at appropriate level,Positive,Positive,Positive
very good price good item would purchase again gift,Positive,Positive,Positive
system able react quickly verbal directions it even able pickup voices across room seems capture commands accurately even when spoken quickly,Positive,Positive,Neutral
purchased for my son has room upgrade memory allow more books games speakers could be better located in better position,Positive,Positive,Positive
i love kids can only do what you allow them they cant get internet unless you put it on there profile which i dont because i have four year old there apps very easily accessed big so they can b seen very well also these tablets double can b used as regular tablet for grown ups,Positive,Positive,Positive
i would recommend product it works great ver compact,Positive,Positive,Positive
i wanted speaker listen pandora go so much more being able speak alexa get news weather timer light controls so much more love product,Positive,Positive,Positive
i am so glad i bought echo it has made it easier automate my music my lights throughout my house we still learning use it hope add our thermostat as well items i can control with my alexa,Positive,Positive,Positive
its great product for cost speakers not what they should be screen too small choosing what desplayed on screen something i still have not figired out hopefully software updates will fix minor problem second generation will hopefully fix hardware downfalls voice recognition also not as good as eco dot i am not recomending product at time because cost poor performance,Positive,Positive,Positive
hub dollar my smart devices it worksthis hub dollar my smart devices it works,Positive,Positive,Positive
not substitute for ipad really good tablet for reading minimal internet usage,Positive,Positive,Positive
meh it works i find it difficult navigate i also have ipad mini seems be less intuitive than ipad,Positive,Positive,Positive
bought two these one for living room one for bedroom great when you dont feel like walking living room need talk your significant other honestly dont use it much when i do its great music shopping stupid questions movie times etc,Positive,Positive,Positive
i bought second kindle for larger storage space love all extra stuff i can do now,Positive,Positive,Positive
ease use comparability with smart home products make awesome product,Positive,Positive,Positive
my th kindle easily best one ive ever had it very comfortable hold very compact i surprised how small it has same screen size as my other kindles it may look costly at first remember you getting cover with additional battery,Positive,Positive,Positive
i read huge number books in kindle format kindle fire perfect for its just right balance between screen size easy carrying it also great for audible users you will want install micro sd card though you can also use it watch netflix like although i dont as tablet it leaves lot be desired if you looking for tablet give pass it has lot system lag wifi reception terrible even in areas where other devices show strong signalalso you should know you cant access any apps on google play store its locked into amazon none bothers me because like i said i only use it readlisten kindle books device works perfectly for bottom line if you just want kindle reading platform with some extra functionality will work well for you if youre looking for full android tablet experience look elsewhere,Positive,Positive,Positive
my echo show my christmas gift myself so far i am having great fun with nifty new addition my amazon family home monitoring devices i have connected show my ring doorbell,Positive,Positive,Positive
when used with amazon prime freetime app for kids great tablet recommend installing at least gb micro sd card storage install apps card insure tablet has enough free space handle videos easy enough use for our year old grandson,Positive,Positive,Positive
low cost item provides huge returns for money spent it great little tablet,Positive,Positive,Positive
family having fun with alexa i do like way it integrates with other devices around home arlo nest,Positive,Positive,Positive
i love ability video chat watch videos on how do stuff,Positive,Positive,Positive
i bought several alexas for christmas gifts also for myself also bought amazon show for christmas gift also for my youngest daugter,Positive,Positive,Positive
you have ability set up on off times for your childs profile apps good adults can use it as well because you can have multiple password protected profiles on tablet at once perfect for my five year old on five thousand mile plus plane trip,Positive,Positive,Positive
awesome product first echo product i owned i purchased get off i going split with friend like so much i decided keep both ive being singing along with stream song with lyrics while doing work in kitchen house watching youtube videos videos on youtube takes more effort find ones i want i think will improve over time,Positive,Positive,Positive
just installed like it so far picture clear price affordable,Positive,Positive,Positive
amazon echo plus good buy it buy it you will love it,Positive,Positive,Positive
great product only downside it did not work with my home security camera,Positive,Positive,Positive
my third one these best one by far,Positive,Positive,Positive
just simple kindle doesnt have glass back,Positive,Positive,Positive
my sons love playing on their tablet not only does it allow me additional time get things done they enjoy educational apps provided,Positive,Positive,Positive
my kids loved it they able learn how use it right away,Positive,Positive,Positive
great for kids it grows up with them all apps good my kid loves it,Positive,Positive,Positive
works well with smart home lights door locks wireless security cam,Positive,Positive,Positive
we bought as christmas gift for our year old he loves it its durable reliable,Positive,Positive,Positive
love my kindle at price it best value in tech right now,Positive,Positive,Positive
i bought tablet for my grandson he absolutely loves it,Positive,Positive,Positive
bought for my grandson first one had issues best buy exchanged it my grandson loves it,Positive,Positive,Positive
she hasnt used it yet my son did quick check it seems just fine,Positive,Positive,Positive
my daughter loves her kindle its larger than previous one she had she enjoys it,Positive,Positive,Positive
my husband truck driver being on road away from home he likes have shows movies watch has so much space for him download things watch,Positive,Positive,Positive
my kiddo loves tablet shes knows how work it well i look at it sometimes see apps i didnt download lol good thing first year free its very durable as well great product overall i wouldve liked different color for her blue all in stock i got it great price being on sale plus i had certificates use,Positive,Positive,Positive
i received original echo two years ago use it in my office year i decided get one for house amazed at all features i hadnt taken advantage primarily smart home features great because it came with lightbulb,Positive,Positive,Positive
can use many differents apps from echo show awesome product,Positive,Positive,Positive
happy with purcase gift for my mother in law,Positive,Positive,Positive
